States,Payment_type,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Arunachal Pradesh,Others,2039,2.04,2018,3rd Quarter,12.0,27.10039878,93.61660071
Arunachal Pradesh,Recharge & bill payments,97751,20.66,2018,4th Quarter,12.0,27.10039878,93.61660071
Arunachal Pradesh,Peer-to-peer payments,68169,468.83,2018,4th Quarter,12.0,27.10039878,93.61660071
Arunachal Pradesh,Merchant payments,7726,12.0,2018,4th Quarter,12.0,27.10039878,93.61660071
Arunachal Pradesh,Financial Services,561,0.1,2018,4th Quarter,12.0,27.10039878,93.61660071
Arunachal Pradesh,Others,2222,2.45,2018,4th Quarter,12.0,27.10039878,93.61660071
Assam,Recharge & bill payments,632092,93.49,2018,1st Quarter,18.0,26.7499809,94.21666744
Assam,Peer-to-peer payments,318025,993.53,2018,1st Quarter,18.0,26.7499809,94.21666744
Assam,Merchant payments,40482,34.5,2018,1st Quarter,18.0,26.7499809,94.21666744
Assam,Financial Services,18172,4.94,2018,1st Quarter,18.0,26.7499809,94.21666744
Assam,Others,48110,31.35,2018,1st Quarter,18.0,26.7499809,94.21666744
Assam,Recharge & bill payments,984160,174.43,2018,2nd Quarter,18.0,26.7499809,94.21666744
Assam,Peer-to-peer payments,530781,2064.31,2018,2nd Quarter,18.0,26.7499809,94.21666744
Assam,Merchant payments,79307,73.37,2018,2nd Quarter,18.0,26.7499809,94.21666744
Assam,Financial Services,22773,7.05,2018,2nd Quarter,18.0,26.7499809,94.21666744
Assam,Others,46852,31.43,2018,2nd Quarter,18.0,26.7499809,94.21666744
Assam,Recharge & bill payments,1275136,254.57,2018,3rd Quarter,18.0,26.7499809,94.21666744
Assam,Peer-to-peer payments,843571,3424.14,2018,3rd Quarter,18.0,26.7499809,94.21666744
Assam,Merchant payments,159532,96.78,2018,3rd Quarter,18.0,26.7499809,94.21666744
Assam,Financial Services,22677,4.74,2018,3rd Quarter,18.0,26.7499809,94.21666744
Assam,Others,50935,30.9,2018,3rd Quarter,18.0,26.7499809,94.21666744
Assam,Recharge & bill payments,1703488,317.66,2018,4th Quarter,18.0,26.7499809,94.21666744
Assam,Peer-to-peer payments,1279089,5284.78,2018,4th Quarter,18.0,26.7499809,94.21666744
Assam,Merchant payments,667293,240.56,2018,4th Quarter,18.0,26.7499809,94.21666744
Assam,Financial Services,28035,6.33,2018,4th Quarter,18.0,26.7499809,94.21666744
Assam,Others,56267,38.69,2018,4th Quarter,18.0,26.7499809,94.21666744
Bihar,Recharge & bill payments,3159922,375.56,2018,1st Quarter,10.0,25.78541445,87.4799727
Bihar,Peer-to-peer payments,2052089,5295.35,2018,1st Quarter,10.0,25.78541445,87.4799727
Bihar,Financial Services,194295,34.0,2018,1st Quarter,10.0,25.78541445,87.4799727
Bihar,Merchant payments,138885,139.83,2018,1st Quarter,10.0,25.78541445,87.4799727
Bihar,Others,279111,201.03,2018,1st Quarter,10.0,25.78541445,87.4799727
Bihar,Recharge & bill payments,4346849,700.65,2018,2nd Quarter,10.0,25.78541445,87.4799727
Bihar,Peer-to-peer payments,3447898,12141.45,2018,2nd Quarter,10.0,25.78541445,87.4799727
Bihar,Merchant payments,311487,318.57,2018,2nd Quarter,10.0,25.78541445,87.4799727
Bihar,Financial Services,267433,45.33,2018,2nd Quarter,10.0,25.78541445,87.4799727
Bihar,Others,258711,300.13,2018,2nd Quarter,10.0,25.78541445,87.4799727
Bihar,Peer-to-peer payments,8893764,18695.89,2018,3rd Quarter,10.0,25.78541445,87.4799727
Bihar,Recharge & bill payments,4401439,804.06,2018,3rd Quarter,10.0,25.78541445,87.4799727
Bihar,Merchant payments,586862,367.61,2018,3rd Quarter,10.0,25.78541445,87.4799727
Bihar,Financial Services,274510,33.28,2018,3rd Quarter,10.0,25.78541445,87.4799727
Bihar,Others,211229,234.97,2018,3rd Quarter,10.0,25.78541445,87.4799727
Bihar,Peer-to-peer payments,8094296,26224.3,2018,4th Quarter,10.0,25.78541445,87.4799727
Bihar,Recharge & bill payments,5469096,986.31,2018,4th Quarter,10.0,25.78541445,87.4799727
Bihar,Merchant payments,1680664,848.97,2018,4th Quarter,10.0,25.78541445,87.4799727
Bihar,Financial Services,237247,36.2,2018,4th Quarter,10.0,25.78541445,87.4799727
Bihar,Others,251098,302.21,2018,4th Quarter,10.0,25.78541445,87.4799727
Chandigarh,Recharge & bill payments,201262,47.48,2018,1st Quarter,4.0,30.71999697,76.78000565
Chandigarh,Peer-to-peer payments,135136,528.0,2018,1st Quarter,4.0,30.71999697,76.78000565
Chandigarh,Merchant payments,21431,19.48,2018,1st Quarter,4.0,30.71999697,76.78000565
Chandigarh,Financial Services,8473,1.87,2018,1st Quarter,4.0,30.71999697,76.78000565
Chandigarh,Others,15593,16.61,2018,1st Quarter,4.0,30.71999697,76.78000565
Chandigarh,Recharge & bill payments,224548,76.72,2018,2nd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Peer-to-peer payments,194627,835.3,2018,2nd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Merchant payments,34606,29.41,2018,2nd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Financial Services,11927,3.68,2018,2nd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Others,13376,16.12,2018,2nd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Peer-to-peer payments,295358,1217.62,2018,3rd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Recharge & bill payments,236445,100.64,2018,3rd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Merchant payments,64998,37.56,2018,3rd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Financial Services,7642,1.3,2018,3rd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Others,12493,12.23,2018,3rd Quarter,4.0,30.71999697,76.78000565
Chandigarh,Peer-to-peer payments,431461,1793.87,2018,4th Quarter,4.0,30.71999697,76.78000565
Chandigarh,Recharge & bill payments,310527,128.13,2018,4th Quarter,4.0,30.71999697,76.78000565
Chandigarh,Merchant payments,135266,94.01,2018,4th Quarter,4.0,30.71999697,76.78000565
Chandigarh,Financial Services,10008,2.04,2018,4th Quarter,4.0,30.71999697,76.78000565
Chandigarh,Others,17854,14.54,2018,4th Quarter,4.0,30.71999697,76.78000565
Chhattisgarh,Recharge & bill payments,1177618,206.52,2018,1st Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Peer-to-peer payments,550697,1838.24,2018,1st Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Merchant payments,42411,39.71,2018,1st Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Financial Services,33002,7.35,2018,1st Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Others,87786,57.34,2018,1st Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Recharge & bill payments,1643461,351.71,2018,2nd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Peer-to-peer payments,933066,3703.11,2018,2nd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Merchant payments,118438,129.97,2018,2nd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Financial Services,40299,9.41,2018,2nd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Others,80892,69.97,2018,2nd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Recharge & bill payments,1911374,443.46,2018,3rd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Peer-to-peer payments,1619886,5647.95,2018,3rd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Merchant payments,220572,145.34,2018,3rd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Financial Services,31927,6.2,2018,3rd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Others,75845,59.36,2018,3rd Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Recharge & bill payments,2438959,554.51,2018,4th Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Peer-to-peer payments,2342713,8450.11,2018,4th Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Merchant payments,458091,331.84,2018,4th Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Financial Services,42199,9.71,2018,4th Quarter,22.0,22.09042035,82.15998734
Chhattisgarh,Others,83882,70.24,2018,4th Quarter,22.0,22.09042035,82.15998734
Dadra & Nagar Haveli & Daman & Diu,Recharge & bill payments,95544,17.53,2018,1st Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Peer-to-peer payments,44599,151.97,2018,1st Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Merchant payments,1531,1.58,2018,1st Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Financial Services,1364,0.35,2018,1st Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Others,5511,4.23,2018,1st Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Recharge & bill payments,122834,30.6,2018,2nd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Peer-to-peer payments,69215,262.0,2018,2nd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Merchant payments,3544,4.69,2018,2nd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Financial Services,2996,0.38,2018,2nd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Others,4037,4.41,2018,2nd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Recharge & bill payments,157113,39.79,2018,3rd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Peer-to-peer payments,119346,396.7,2018,3rd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Merchant payments,7465,5.69,2018,3rd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Financial Services,1477,0.3,2018,3rd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Others,4174,5.16,2018,3rd Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Peer-to-peer payments,194214,582.08,2018,4th Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Recharge & bill payments,185793,49.97,2018,4th Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Merchant payments,15739,19.58,2018,4th Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Financial Services,2996,0.37,2018,4th Quarter,26.0,20.26657819,73.0166178
Dadra & Nagar Haveli & Daman & Diu,Others,5340,6.75,2018,4th Quarter,26.0,20.26657819,73.0166178
Delhi,Recharge & bill payments,3947297,1320.56,2018,1st Quarter,7.0,28.6699929,77.23000403
Delhi,Peer-to-peer payments,2380820,9125.69,2018,1st Quarter,7.0,28.6699929,77.23000403
Delhi,Merchant payments,339809,375.39,2018,1st Quarter,7.0,28.6699929,77.23000403
Delhi,Financial Services,136240,45.59,2018,1st Quarter,7.0,28.6699929,77.23000403
Delhi,Others,318588,344.28,2018,1st Quarter,7.0,28.6699929,77.23000403
Delhi,Recharge & bill payments,4511737,2078.18,2018,2nd Quarter,7.0,28.6699929,77.23000403
Delhi,Peer-to-peer payments,3542716,14348.18,2018,2nd Quarter,7.0,28.6699929,77.23000403
Delhi,Merchant payments,837001,631.6,2018,2nd Quarter,7.0,28.6699929,77.23000403
Delhi,Financial Services,205991,66.58,2018,2nd Quarter,7.0,28.6699929,77.23000403
Delhi,Others,276278,321.75,2018,2nd Quarter,7.0,28.6699929,77.23000403
Delhi,Peer-to-peer payments,8557153,22670.12,2018,3rd Quarter,7.0,28.6699929,77.23000403
