Districts,Transaction_count,Amount in Millions,Year,Quarters
Mumbai Suburban,49079788,75911.51,2021,1st quarter
Hyderabad,43511186,73949.38,2019,2nd quarter
Bhopal,38492334,67905.95,2020,4th quarter
Visakhapatnam,34421299,67628.44,2020,3rd quarter
Central Delhi,32194168,61575.44,2020,4th quarter
Central Delhi,32203761,61527.72,2020,3rd quarter
Jaipur,36334520,58402.1,2019,3rd quarter
Pune,44795652,58398.81,2019,2nd quarter
Bhopal,29560361,57525.61,2020,3rd quarter
New Delhi,29048107,54398.43,2019,4th quarter
Mumbai Suburban,31947471,52567.09,2020,4th quarter
Rangareddy,29573243,51787.72,2020,3rd quarter
Bengaluru Urban,33061353,50279.17,2018,4th quarter
Medchal Malkajgiri,28698311,48831.7,2020,3rd quarter
Visakhapatnam,27115031,48809.75,2020,1st quarter
Visakhapatnam,25300401,48293.89,2020,2nd quarter
Jaipur,27449382,46056.91,2019,2nd quarter
Rangareddy,31802492,45881.23,2020,1st quarter
Rangareddy,31237803,44757.33,2019,4th quarter
Khordha,23387123,44638.45,2020,3rd quarter
New Delhi,24687138,43288.06,2019,3rd quarter
Central Delhi,24757650,41219.41,2020,1st quarter
Mumbai Suburban,23598054,40462.12,2020,1st quarter
Khordha,23152370,39755.14,2020,1st quarter
Visakhapatnam,23594874,39133.3,2019,4th quarter
Medchal Malkajgiri,25458101,37404.47,2020,1st quarter
New Delhi,23313548,36146.67,2019,2nd quarter
Hyderabad,24838664,34892.16,2019,1st quarter
Khordha,16842715,34814.88,2020,2nd quarter
Khordha,27477393,34227.23,2019,4th quarter
Bengaluru Urban,18405424,33812.84,2018,3rd quarter
Rangareddy,23655175,33663.96,2019,3rd quarter
Ahmadabad,16430916,32731.9,2020,2nd quarter
Pune,23360634,32233.52,2019,1st quarter
Medchal Malkajgiri,22999944,31417.91,2019,4th quarter
Rangareddy,18068048,31273.55,2020,2nd quarter
Central Delhi,17641823,30418.6,2020,2nd quarter
Medchal Malkajgiri,17860704,29732.06,2020,2nd quarter
Visakhapatnam,16694947,26944.84,2019,3rd quarter
Kolkata,21917627,26475.75,2019,4th quarter
Patna,13421445,26125.48,2019,2nd quarter
Khordha,18364742,25509.66,2019,3rd quarter
Rangareddy,16348519,25359.41,2019,2nd quarter
Jaipur,19178441,25043.54,2019,1st quarter
Bengaluru Urban,11916035,23824.73,2018,2nd quarter
Medchal Malkajgiri,17492750,23256.56,2019,3rd quarter
Lucknow,12624404,22426.46,2019,2nd quarter
Kolkata,16306691,21451.2,2019,3rd quarter
Khordha,13339889,19006.08,2019,2nd quarter
Chennai,11642449,18810.97,2019,1st quarter
Pune,11075153,18048.88,2018,4th quarter
Rangareddy,12952050,17677.05,2019,1st quarter
Kolkata,13259522,17260.85,2019,2nd quarter
Central Delhi,12885975,16258.18,2019,1st quarter
Hyderabad,9360515,14727.85,2018,4th quarter
Chennai,8007699,14632.4,2018,4th quarter
Bengaluru Urban,8306513,14162.75,2018,1st quarter
New Delhi,10000765,13939.47,2019,1st quarter
Central Delhi,9373395,13878.49,2018,4th quarter
Medchal Malkajgiri,10127087,13392.04,2019,1st quarter
Pune,7890491,12601.61,2018,3rd quarter
Jaipur,7271209,12107.34,2018,4th quarter
Mumbai,6060284,11506.14,2018,4th quarter
Central Delhi,8165361,10515.88,2018,3rd quarter
Gautam Buddha Nagar,10750094,10286.43,2019,1st quarter
Chennai,5887343,10122.32,2018,3rd quarter
Hyderabad,5786941,9503.55,2018,3rd quarter
Rangareddy,5803319,9396.31,2018,4th quarter
Pune,5162876,8513.43,2018,2nd quarter
Kolkata,5401244,8502.1,2018,4th quarter
Jaipur,4954443,7882.15,2018,3rd quarter
Gautam Buddha Nagar,6083056,7483.53,2018,4th quarter
Chennai,3719593,7305.36,2018,2nd quarter
Hyderabad,3156805,6628.16,2018,2nd quarter
Central Delhi,3589206,6223.47,2018,2nd quarter
Birbhum,6066238,6130.63,2018,3rd quarter
Mumbai,3277612,6048.52,2018,2nd quarter
Pune,3842929,5378.98,2018,1st quarter
Jaipur,3175255,4952.88,2018,2nd quarter
North Twenty Four Parganas,4856114,4545.9,2018,3rd quarter
Khordha,5333443,4389.72,2018,3rd quarter
Central Delhi,2997714,4312.15,2018,1st quarter
Hyderabad,2545507,4287.22,2018,1st quarter
Chennai,2656230,4281.14,2018,1st quarter
Kolkata,2501448,4109.82,2018,2nd quarter
Birbhum,2775489,3988.93,2018,2nd quarter
Mumbai,2671029,3923.12,2018,1st quarter
Jaipur,2417174,2953.09,2018,1st quarter
Kolkata,2043129,2753.35,2018,1st quarter
Birbhum,2125816,2520.49,2018,1st quarter
North Twenty Four Parganas,2119664,2509.38,2018,2nd quarter
Bankura,5179457,2464.19,2018,3rd quarter
Bhopal,1704495,1905.47,2018,1st quarter
