Pincodes,Transaction_count,Amount in Millions,Year,Quarters
411001,1689517,2829.64,2018,3rd quarter
700009,1473202,2566.58,2018,2nd quarter
731101,1764956,2366.77,2018,1st quarter
500012,1024336,2257.04,2018,2nd quarter
201301,1438458,2181.63,2018,3rd quarter
411001,1316115,2145.61,2018,2nd quarter
560068,1630650,1941.18,2018,4th quarter
700009,1390629,1851.15,2018,1st quarter
201301,971854,1673.28,2018,2nd quarter
500012,933013,1643.06,2018,1st quarter
462001,928983,1443.63,2018,2nd quarter
411001,1055656,1413.52,2018,1st quarter
201301,690196,987.61,2018,1st quarter
462001,832846,898.73,2018,1st quarter
221001,1439623,671.78,2018,3rd quarter
